artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
Billie Eilish,Lunch,842808938,2025-08-02,true,2024-05-17,2024-10-09,"Prudential Center, New York"
Billie Eilish,NDA,450750616,2025-08-02,false,2021-07-30,2024-10-09,"Prudential Center, New York"
Billie Eilish,Therefore I Am,932518765,2025-08-02,true,2021-07-30,2024-10-09,"Prudential Center, New York"
Billie Eilish,when the partys over,2248632678,2025-08-02,true,2019-03-29,2024-10-09,"Prudential Center, New York"
Billie Eilish,THE DINER,264017924,2025-08-02,true,2024-05-17,2024-10-09,"Prudential Center, New York"
Billie Eilish,bad guy,2770154721,2025-08-02,true,2019-03-29,2024-10-09,"Prudential Center, New York"
Billie Eilish,THE GREATEST,396756531,2025-08-02,false,2024-05-17,2024-10-09,"Prudential Center, New York"
Billie Eilish,bury a friend,1106943172,2025-08-02,true,2019-03-29,2024-10-09,"Prudential Center, New York"
Billie Eilish,you should see me in a crown,977346403,2025-08-02,true,2019-03-29,2024-10-09,"Prudential Center, New York"
Billie Eilish,Guess,693296563,2025-08-02,false,2024-05-17,2024-10-09,"Prudential Center, New York"
Billie Eilish,everything i wanted,1924088408,2025-08-02,true,2019-11-13,2024-10-09,"Prudential Center, New York"
Billie Eilish,lovely,3407346525,2025-08-02,true,2018-04-19,2024-10-09,"Prudential Center, New York"
Billie Eilish,idontwannabeyouanymore,1267553499,2025-08-02,true,2017-08-11,2024-10-09,"Prudential Center, New York"
Billie Eilish,ocean eyes,1857433658,2025-08-02,true,2016-11-18,2024-10-09,"Prudential Center, New York"
Billie Eilish,L' AMOUR DE MA VIE,424449317,2025-08-02,false,2024-05-17,2024-10-09,"Prudential Center, New York"
Billie Eilish,What Was I Made For,1385179195,2025-08-02,true,2023-07-13,2024-10-09,"Prudential Center, New York"
Billie Eilish,Happier Than Ever,1636468581,2025-08-02,true,2021-07-30,2024-10-09,"Prudential Center, New York"
Billie Eilish,BIRDS OF A FEATHER,2867547761,2025-08-02,true,2024-05-17,2024-10-09,"Prudential Center, New York"

