artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
Everglow,DUN DUN,181181884,2025-08-02,true,2020-02-03,2024-09-29,"The Town Hall, New York"
Everglow,Bon Bon Chocolat,140601401,2025-08-02,true,2019-03-18,2024-09-29,"The Town Hall, New York"
Everglow,LA DI DA,139890235,2025-08-02,true,2020-09-21,2024-09-29,"The Town Hall, New York"
Everglow,Adios,131364827,2025-08-02,true,2019-08-19,2024-09-29,"The Town Hall, New York"
Everglow,First,61210371,2025-08-02,false,2021-03-25,2024-09-29,"The Town Hall, New York"
Everglow,Pirate,57372279,2025-08-02,false,2021-12-01,2024-09-29,"The Town Hall, New York"
Everglow,Hush,21445257,2025-08-02,false,2019-08-19,2024-09-29,"The Town Hall, New York"
Everglow,SLAY,21444999,2025-08-02,false,2023-08-18,2024-09-29,"The Town Hall, New York"
Everglow,ZOMBIE,7357077,2025-08-02,false,2024-06-10,2024-09-29,"The Town Hall, New York"
Everglow,Stronger(Cover),773117035,2025-08-02,true,2011-10-24,2024-09-29,"The Town Hall, New York"
