artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
Itzy,untouchable,66579922,2025-08-10,true,2024-01-08,2024-06-23,"Prudential Center, New York"
Itzy,swipe,64704235,2025-06-30,false,2021-09-24,2024-06-23,"Prudential Center, New York"
Itzy,mine(Chaeryeong),6975804,2025-08-10,true,2024-01-08,2024-06-23,"Prudential Center, New York"
Itzy,run away(Ryujin),7956792,2025-08-10,true,2024-01-08,2024-06-23,"Prudential Center, New York"
Itzy,Yet but(Yuna),4994804,2025-08-10,false,2024-01-08,2024-06-23,"Prudential Center, New York"
Itzy,Crown on my head(Yeji),8725034,2025-08-10,true,2024-01-08,2024-06-23,"Prudential Center, New York"
Itzy,don't give a what,11230142,2025-08-10,false,2020-08-17,2024-06-23,"Prudential Center, New York"
Itzy,born to be,36644796,2025-08-10,true,2024-01-08,2024-06-23,"Prudential Center, New York"
Itzy,dynamite,6562947,2025-08-10,false,2024-01-08,2024-06-23,"Prudential Center, New York"
Itzy,psychic lover,9594342,2025-08-10,true,2023-07-31,2024-06-23,"Prudential Center, New York"
Itzy,wannabe,414311630,2025-08-10,true,2020-03-09,2024-06-23,"Prudential Center, New York"
Itzy,LOCO,294738394,2025-08-10,true,2021-09-24,2024-06-23,"Prudential Center, New York"
Itzy,Not Shy,257826000,2025-08-10,true,2020-08-17,2024-06-23,"Prudential Center, New York"
Itzy,cake,92681334,2025-08-10,false,2023-07-31,2024-06-23,"Prudential Center, New York"
Itzy,sneakers,108035970,2025-08-10,false,2022-07-15,2024-06-23,"Prudential Center, New York"
Itzy,be in love,15760137,2025-08-10,false,2020-08-17,2024-06-23,"Prudential Center, New York"
Itzy,boys like you,40439730,2025-08-10,true,2022-11-30,2024-06-23,"Prudential Center, New York"
Itzy,DALLA DALLA,268179821,2025-08-10,true,2019-02-12,2024-06-23,"Prudential Center, New York"
