artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
Katy Perry,chained to the rhythm,624417862,2025-08-16,false,2017-06-09,2025-08-14,"Prudential Center, New York"
Katy Perry,dark horse,1770224428,2025-08-16,false,2013-01-01,2025-08-14,"Prudential Center, New York"
Katy Perry,california gurls,1131005208,2025-08-16,false,2012-01-01,2025-08-14,"Prudential Center, New York"
Katy Perry,teenage dream,1032878797,2025-08-16,true,2012-01-01,2025-08-14,"Prudential Center, New York"
Katy Perry,hot n cold,1211955266,2025-08-16,true,2008-06-17,2025-08-14,"Prudential Center, New York"
Katy Perry,last friday night,1590316595,2025-08-16,false,2012-01-01,2025-08-14,"Prudential Center, New York"
Katy Perry,I kissed a girl,1120382415,2025-08-16,true,2008-06-17,2025-08-14,"Prudential Center, New York"
Katy Perry,nirvana,9293928,2025-08-16,false,2024-09-20,2025-08-14,"Prudential Center, New York"
Katy Perry,wide awake,667796309,2025-08-16,true,2012-01-01,2025-08-14,"Prudential Center, New York"
Katy Perry,the one that got away,1235487597,2025-08-16,true,2012-01-01,2025-08-14,"Prudential Center, New York"
Katy Perry,E.T.,465237516,2025-08-16,true,2012-01-01,2025-08-14,"Prudential Center, New York"
Katy Perry,part of me,690601355,2025-08-16,false,2012-01-01,2025-08-14,"Prudential Center, New York"
Katy Perry,roar,1405698709,2025-08-16,true,2013-01-01,2025-08-14,"Prudential Center, New York"
Katy Perry,lifetimes,49884213,2025-08-16,false,2024-09-20,2025-08-14,"Prudential Center, New York"
Katy Perry,firework,1354625783,2025-08-16,true,2012-01-01,2025-08-14,"Prudential Center, New York"
