artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
LE SSERAFIM,EASY,290289931,2025-09-13,true,2024-02-19,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,Swan Song,54171754,2025-09-13,true,2024-02-19,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,Sour Grapes,223543065,2025-09-13,false,2022-05-02,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,Blue Flame,106592449,2025-09-13,false,2022-05-02,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,So Cynical,20515350,2025-09-13,false,2025-03-14,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,Impurities,137189377,2025-09-13,true,2023-05-01,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,The Great Mermaid,40316411,2025-09-13,false,2022-05-02,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,Smart,360436926,2025-09-13,true,2024-03-02,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,Fire in the belly,33970503,2025-09-13,false,2023-05-01,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,Eve Psyche,11444985,2025-09-13,false,2023-07-06,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,Crazy,349582882,2025-09-13,true,2024-09-02,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,1-800-hot-n-fun,90649613,2025-09-13,false,2024-08-30,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,Pierrot,41558513,2025-09-13,false,2024-08-30,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,FEARLESS,280613557,2025-09-13,true,2022-05-02,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,Unforgiven,290021279,2025-09-13,true,2023-05-01,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,Antifragile,610351711,2025-09-13,true,2023-05-01,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,Crazier,15277282,2025-09-13,false,2024-08-30,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,Fearnot,21521702,2025-09-13,false,2023-05-01,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,Different,26250410,2025-09-13,true,2025-06-08,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,Perfect Night,462373982,2025-09-13,true,2023-10-27,2025-09-03,"Prudential Center, New York"
LE SSERAFIM,No Return,34928857,2025-09-13,false,2023-05-01,2025-09-03,"Prudential Center, New York"
