artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
Post Malone,sunflower,3858543312,2025-06-20,true,2019-09-06,2024-06-07,"Govball 2024, New York"
Post Malone,rockstar,3197484851,2025-06-20,true,2018-04-27,2024-06-07,"Govball 2024, New York"
Post Malone,circles,2859402819,2025-06-20,true,2019-09-06,2024-06-07,"Govball 2024, New York"
Post Malone,congratulations,2176757414,2025-06-20,true,2016-12-09,2024-06-07,"Govball 2024, New York"
Post Malone,better now,2117048153,2025-06-20,true,2018-04-27,2024-06-07,"Govball 2024, New York"
Post Malone,I had some help,1150732590,2025-06-20,false,2024-08-15,2024-06-07,"Govball 2024, New York"
Post Malone,I like you,953612597,2025-06-20,true,2022-06-03,2024-06-07,"Govball 2024, New York"
Post Malone,take what you want,704767381,2025-06-20,false,2019-09-06,2024-06-07,"Govball 2024, New York"
Post Malone,chemical,642582117,2025-06-20,false,2023-04-14,2024-06-07,"Govball 2024, New York"
Post Malone,wrapped around your finger,155671526,2025-06-20,true,2022-06-03,2024-06-07,"Govball 2024, New York"
