artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
The Weeknd,blinding lights,4903124590,2025-06-30,true,2019-11-29,2025-06-05,"Metlife Stadium, New York"
The Weeknd,starboy,3962755291,2025-06-30,true,2016-11-25,2025-06-05,"Metlife Stadium, New York"
The Weeknd,die for you,2841657757,2025-06-30,true,2016-11-25,2025-06-05,"Metlife Stadium, New York"
The Weeknd,the hills,2698442617,2025-06-30,true,2015-08-28,2025-06-05,"Metlife Stadium, New York"
The Weeknd,save your tears,2391912029,2025-06-28,true,2020-03-20,2025-06-05,"Metlife Stadium, New York"
The Weeknd,call out my name,2131562183,2025-06-28,true,2018-03-30,2025-06-05,"Metlife Stadium, New York"
The Weeknd,I feel it coming,1990604857,2025-06-30,true,2016-11-25,2025-06-05,"Metlife Stadium, New York"
The Weeknd,can't feel my face,1972934049,2025-06-30,true,2015-08-28,2025-06-05,"Metlife Stadium, New York"
The Weeknd,one of the girls,1952142181,2025-06-30,true,2023-06-23,2025-06-05,"Metlife Stadium, New York"
The Weeknd,Sao Paulo,373870897,2025-06-30,false,2025-01-31,2025-06-05,"Metlife Stadium, New York"
The Weeknd,niagara falls,55575097,2025-06-03,true,2025-01-31,2025-06-05,"Metlife Stadium, New York"
